"id","where","claim","value","expected","pass"
"R1.1","Results 4.1.1","baseline alpha0 bias is 0.10 to 0.12 across regimes",0.117072802349653,0.117,TRUE
"R1.2.independent","Results 4.1.1 / Table S2","M1 alpha0 coverage, independent",0.655,0.655,TRUE
"R1.3.independent","Results 4.1.1 / Table S2","M2 alpha0 coverage, independent",0.94,0.94,TRUE
"R1.2.shared","Results 4.1.1 / Table S2","M1 alpha0 coverage, shared",0.55,0.55,TRUE
"R1.3.shared","Results 4.1.1 / Table S2","M2 alpha0 coverage, shared",0.93,0.93,TRUE
"R1.2.observer","Results 4.1.1 / Table S2","M1 alpha0 coverage, observer",0.595,0.595,TRUE
"R1.3.observer","Results 4.1.1 / Table S2","M2 alpha0 coverage, observer",0.855,0.855,TRUE
"R1.4","Results 4.1.1","largest M1-M2 difference in occupancy bias is 0.012",0.0116896415295813,0.012,TRUE
"R1.7","Abstract / Highlights / Results / Discussion","M2 alpha0 coverage: maximum is 0.940, quoted as 0.94",0.94,0.94,TRUE
"R1.8","Abstract / Highlights / Results / Discussion","M2 alpha0 coverage: minimum is 0.855, quoted as 0.86",0.855,0.855,TRUE
"R1.9","Abstract / Highlights / Discussion","M1 alpha0 coverage: minimum is 0.550, quoted as 0.55",0.55,0.55,TRUE
"R1.10","Abstract / Highlights / Discussion","M1 alpha0 coverage: maximum is 0.655, quoted as 0.66",0.655,0.655,TRUE
"R1.11","Results 4.1.1 / Discussion","M2 alpha0 bias range 0.016 to 0.060",0.0600467121602597,0.06,TRUE
"R1.12","Limitations / Conclusions","observer regime: M2 alpha0 bias 0.060",0.0600467121602597,0.06,TRUE
"R1.13","Limitations / Conclusions","observer regime: M2 alpha0 coverage 0.855",0.855,0.855,TRUE
"R1.14","Results 4.1.1 / Discussion / Abstract","confounded regime: alpha2 bias is 7.5% of the generating value",7.49770100592472,7.5,TRUE
"R1.15","Results 4.1.1","independent regime: alpha2 bias -0.010",-0.00958851865098764,-0.01,TRUE
