"species","mean","sd","naive_occ"
"NAWA",0.0332209034647126,0.00842102994452422,0.0233463035019455
"AMRE",0.0415161172336562,0.0100591911919248,0.0295071335927367
"CAWA",0.0956265518640182,0.020680465502785,0.0690661478599222
"BAWW",0.117792371096585,0.0247330358935333,0.0856031128404669
"BLPW",0.132803091383376,0.0272690680064424,0.0963035019455253
"MAWA",0.247902315285225,0.043007141546754,0.182879377431907
"BHVI",0.294761567472162,0.0476048083181042,0.220168612191958
"REVI",0.742866276085305,0.0445166435552371,0.608625162127108
"OVEN",0.76792284824795,0.0416522193126636,0.632619974059663
"BLBW",0.776840078978804,0.040561209692399,0.639105058365759
"BTBW",0.84677306218979,0.0309041832865207,0.720817120622568
"BTNW",0.862166303357314,0.028473794426631,0.73313878080415
